word,positive,negative
mueca*,0,1
asombro,0,0
cargué,0,0
valentía,1,0
balón,0,0
asombra,0,0
desayunamos,0,0
sufría*,0,0
jihad,0,0
escribo,0,0
respiréis,0,0
importante*,0,0
ocasiona,0,0
dudará*,0,0
decim*,0,0
igual,0,0
comod*,1,0
gastar*,0,0
gastamos,0,0
prenderá*,0,0
alentáramos,0,0
contestaste*,0,0
distinguía*,0,0
degener*,0,1
volemos,0,0
casette*,0,0
reconociendo,0,0
sucede,0,0
ordenador*,0,0
ingiera*,0,0
otr*,0,0
acercamiento,0,0
hagáis,0,0
accidentad*,0,0
baterista*,0,0
alimentad*,0,0
preválete,0,0
enseñaré*,0,0
herman*,0,0
psicoanalizo,0,0
soláis,0,0
fuera,0,0
echéis,0,0
gritaba*,0,0
volteáis,0,0
batiendo,0,0
molestaré*,0,1
encomendaste*,0,0
explora*,0,0
analizará*,0,0
despertaré*,0,0
dedicásemos,0,0
estaríais,0,0
ocupara*,0,0
guiamos,0,0
entendía*,0,0
quitamancha*,0,0
derrotado,0,0
capturaste*,0,0
psicoanálisis*,0,0
controle*,0,0
ayudaremos,0,0
retrasad*,0,0
construiré*,0,0
tire*,0,0
interrogar,0,0
toméis,0,0
trotar,0,0
averiguara*,0,0
alcanzará*,0,0
miraré*,0,0
moviese*,0,0
analice*,0,0
atendió,0,0
momia,0,0
huire*,0,0
acertar,0,0
ataúd*,0,0
sufrimos,0,1
dirigí,1,0
recorrerá*,0,0
error*,0,0
admira*,1,0
ojalá,0,0
enérgic*,0,0
prueban,0,0
tomaste*,0,0
declaras,0,0
despertare*,0,0
bebiendo,0,0
minarete*,0,0
aliviamos,0,0
lámpara,0,0
ocasiono,0,0
acabaré*,0,0
ultramarinos,0,0
lógica*,0,0
sobreentenderá*,0,0
acá,0,0
camine*,0,0
antagoni*,0,1
destrozáramos,0,0
moriste*,0,0
güila,0,0
vivía*,0,0
desvane*,0,0
expiar,0,0
posteriormente,0,0
comparece*,0,0
relax,0,0
luchéis,0,1
atribuye,0,0
echáis,0,0
conociésemos,0,0
comunicáis,0,0
comprendiésemos,0,0
tímid*,0,1
implícito,0,0
hola,0,0
adquiere*,0,0
distinguiéramos,0,0
recompensa*,1,0
cuidaron,0,0
platica*,0,0
luché,0,1
empezando,0,0
luchó,0,1
estaríamos,0,0
pensare*,0,0
conservara*,0,0
preferi*,0,0
construyen,0,0
animaron,1,0
reconocemos,0,0
esquela*,0,0
seremos,0,0
dejéis,0,0
imaginé,0,0
escalofrío*,0,0
construyes,0,0
apareciendo,0,0
conformad*,1,0
despreciábamos,0,1
prestar*,0,0
artista*,1,0
fabricáis,0,0
prestará*,0,0
cada,0,0
bailáramos,0,0
secreto*,0,0
hoy,0,0
pensáramos,0,0
terriblemente,0,0
destrucci*,0,0
hacerlo*,0,0
sede,0,0
